Feature,Score/Rank,Score/Rank_x,Score/Rank_x,Score/Rank_x,Score/Rank_x,MeanWeight,RankedPosition
aVF_rms,6,101.22425180373904,0.0202808808899532,0.0018622680196221,208.5961031879172,73.25705838601547,94
aVR_energy,2,232.17125228598823,0.0238579432072094,0.0029197836170592,72.4426794283542,71.79781398615687,95
aVR_mean,3,203.49646102734536,0.0310316461860222,0.0027202853751114,91.85118460137528,69.67797589653688,96
I_mean,3,165.65567375064074,0.0311517330023178,0.0035559971138596,120.39955326643802,67.49174935228116,97
II_skew,5,4.51817032138389,0.0260464414197343,0.0024546580778837,276.41442822213014,66.40261168070862,98
V6_mean,6,244.38408416666869,0.0263369125391892,0.0023824240543204,36.11343823591209,66.3591157033351,99
V3_q75,5,118.56733529848724,0.0194160455636482,0.0019495435279143,155.67113875992396,64.82584462294183,100
aVL_std,3,59.01270896959792,0.0187455003665486,0.0016467791718816,202.4397279210063,61.69948921650415,101
aVL_rms,6,60.199959403353745,0.0219075099631607,0.0018267349667195,199.2661433247699,61.409373405424354,102
aVR_std,1,223.1158754038197,0.0252517548552562,0.0032696161224827,24.72014059590669,58.37989114604804,103
II_std,2,140.50022424517934,0.0123939565233586,0.001762072664278,107.07374126357072,58.37367565598534,104
I_kurtosis,5,2.920786414276018,0.0282041864142243,0.0037387611377351,243.78132838065596,58.34919005705504,105
aVR_rms,1,229.66265993869055,0.0238399755674287,0.0032256028424637,17.162748021361388,58.14175847963808,106
II_iqr,5,161.10792964460697,0.0194145608631046,0.0098198592634204,80.87734573317898,57.23870818774411,107
QRSDuration,2,169.73472596223786,0.0126908634894731,0.0023502533307248,72.96546767768835,57.22711406041093,108
II_mean,2,201.68818420437495,0.0377753506806288,0.0023214399823061,39.81264785096519,56.95080678729484,109
aVL_kurtosis,5,4.9398040319760295,0.0466242348759822,0.0021560664350069,235.20268999634663,56.80971160697261,110
II_rms,3,144.4122258176601,0.0204754767036989,0.0026186295467847,93.1579826622172,56.08077707908889,111
aVL_energy,2,105.88793000306636,0.0214933094461684,0.002116757044366,126.20430693685036,54.73314047209583,112
aVR_iqr,2,202.41172180799785,0.0285013835140424,0.0225340065393455,27.680193472777447,54.26892956960675,113
aVF_min,6,109.8910866572618,0.0182289100097923,0.0022117568841986,114.6693856829514,53.19550894284876,114
aVL_mean,2,157.16019744091446,0.030740130885335,0.0018798651504943,58.97133813827881,50.97980131181861,115
aVR_q25,4,164.69349862255893,0.0564960756975856,0.0262915238149243,43.3364379742583,49.20299392854818,116
V1_max,5,134.40859591991955,0.0210269367892339,0.0026857297413035,71.11797962076038,48.65889134287305,117
V2_min,4,84.49691815959578,0.023573092105928,0.0017758031172375,120.4819839824912,48.4715884793671,118
V3_kurtosis,3,23.68696480331311,0.0231909911755356,0.0028901501954708,180.9710531272437,48.33743507574773,119
aVR_min,4,53.47955019283893,0.0160131292665717,0.0021360778723763,149.66788089020963,48.03896006827941,120
V6_max,5,104.93669520475184,0.0136128427705499,0.0023008270439034,93.12074608607034,46.89961293191449,121
I_q75,6,179.36015626936572,0.0285985667248582,0.0089204859250744,18.33335707635768,46.877889976087836,122
aVL_min,3,69.44956594593101,0.0152481822567711,0.0020975117501643,124.64547760404189,45.849973939759955,123
